Table_Number,Table_name,Table_sub_name,Breakdown,Section,Units,Value,Time_Period,Footnotes
Ripanga 1,Tatauranga o nga umanga - Uepu Maori,A-wehenga ahumahi,Ahuwhenua,Nga uepu Maori,Tau,210,2020,1 me 2
Ripanga 1,Tatauranga o nga umanga - Uepu Maori,A-wehenga ahumahi,Ahuwhenua,Nga uepu Maori,Tau,210,2021,1 me 2
Ripanga 1,Tatauranga o nga umanga - Uepu Maori,A-wehenga ahumahi,Era atu ahumahi tuatahi,Nga uepu Maori,Tau,81,2020,1 me 2
Ripanga 1,Tatauranga o nga umanga - Uepu Maori,A-wehenga ahumahi,Era atu ahumahi tuatahi,Nga uepu Maori,Tau,84,2021,1 me 2
Ripanga 1,Tatauranga o nga umanga - Uepu Maori,A-wehenga ahumahi,Nga kaiwhakahaere rawa ehara i te kainga noho,Nga uepu Maori,Tau,387,2020,1 me 2
Ripanga 1,Tatauranga o nga umanga - Uepu Maori,A-wehenga ahumahi,Nga kaiwhakahaere rawa ehara i te kainga noho,Nga uepu Maori,Tau,381,2021,1 me 2
Ripanga 1,Tatauranga o nga umanga - Uepu Maori,A-wehenga ahumahi,Era ahumahi katoa atu,Nga uepu Maori,Tau,540,2020,1 me 2
Ripanga 1,Tatauranga o nga umanga - Uepu Maori,A-wehenga ahumahi,Era ahumahi katoa atu,Nga uepu Maori,Tau,549,2021,1 me 2
Ripanga 1,Tatauranga o nga umanga - Uepu Maori,A-wehenga ahumahi,Tapeke,Nga uepu Maori,Tau,1215,2020,1 me 2
Ripanga 1,Tatauranga o nga umanga - Uepu Maori,A-wehenga ahumahi,Tapeke,Nga uepu Maori,Tau,1227,2021,1 me 2
Ripanga 2,Tatauranga o nga kaimahi - Uepu Maori,A-ropu ahumahi,Ahuwhenua,Nga uepu Maori,Tau,1750,2020,1 me 2
Ripanga 2,Tatauranga o nga kaimahi - Uepu Maori,A-ropu ahumahi,Ahuwhenua,Nga uepu Maori,Tau,1700,2021,1 me 2
Ripanga 2,Tatauranga o nga kaimahi - Uepu Maori,A-ropu ahumahi,Era atu ahumahi tuatahi,Nga uepu Maori,Tau,1350,2020,1 me 2
Ripanga 2,Tatauranga o nga kaimahi - Uepu Maori,A-ropu ahumahi,Era atu ahumahi tuatahi,Nga uepu Maori,Tau,1200,2021,1 me 2
Ripanga 2,Tatauranga o nga kaimahi - Uepu Maori,A-ropu ahumahi,Nga kaiwhakahaere rawa ehara i te kainga noho,Nga uepu Maori,Tau,280,2020,1 me 2
Ripanga 2,Tatauranga o nga kaimahi - Uepu Maori,A-ropu ahumahi,Nga kaiwhakahaere rawa ehara i te kainga noho,Nga uepu Maori,Tau,380,2021,1 me 2
Ripanga 2,Tatauranga o nga kaimahi - Uepu Maori,A-ropu ahumahi,Era ahumahi katoa atu,Nga uepu Maori,Tau,7800,2020,1 me 2
Ripanga 2,Tatauranga o nga kaimahi - Uepu Maori,A-ropu ahumahi,Era ahumahi katoa atu,Nga uepu Maori,Tau,7800,2021,1 me 2
Ripanga 2,Tatauranga o nga kaimahi - Uepu Maori,A-ropu ahumahi,Tapeke,Nga uepu Maori,Tau,11200,2020,1 me 2
Ripanga 2,Tatauranga o nga kaimahi - Uepu Maori,A-ropu ahumahi,Tapeke,Nga uepu Maori,Tau,11100,2021,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Te ahuwhenua, te mahi ngahere, me te mahi hi ika",Era atu hinonga Maori,Tau,87,2020,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Te ahuwhenua, te mahi ngahere, me te mahi hi ika",Era atu hinonga Maori,Tau,87,2021,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Te maina,Era atu hinonga Maori,Tau,3,2020,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Te maina,Era atu hinonga Maori,Tau,3,2021,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Te whakanao,Era atu hinonga Maori,Tau,66,2020,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Te whakanao,Era atu hinonga Maori,Tau,69,2021,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Te hiko, haukapuni, wai, ratonga parahanga hoki",Era atu hinonga Maori,Tau,6,2020,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Te hiko, haukapuni, wai, ratonga parahanga hoki",Era atu hinonga Maori,Tau,6,2021,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Te waihanga,Era atu hinonga Maori,Tau,78,2020,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Te waihanga,Era atu hinonga Maori,Tau,84,2021,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Te hokohoko a-pakihi,Era atu hinonga Maori,Tau,33,2020,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Te hokohoko a-pakihi,Era atu hinonga Maori,Tau,33,2021,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Te hokohoko a-toa,Era atu hinonga Maori,Tau,21,2020,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Te hokohoko a-toa,Era atu hinonga Maori,Tau,24,2021,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Nga whare noho me nga ratonga kai,Era atu hinonga Maori,Tau,27,2020,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Nga whare noho me nga ratonga kai,Era atu hinonga Maori,Tau,27,2021,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Te ikiiki, te kawe mera me nga whare rokiroki rawa",Era atu hinonga Maori,Tau,33,2020,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Te ikiiki, te kawe mera me nga whare rokiroki rawa",Era atu hinonga Maori,Tau,36,2021,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Nga papaho whakamohio me te whakawhiti parongo,Era atu hinonga Maori,Tau,30,2020,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Nga papaho whakamohio me te whakawhiti parongo,Era atu hinonga Maori,Tau,30,2021,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Nga ratonga ahumoni, inihua hoki",Era atu hinonga Maori,Tau,9,2020,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Nga ratonga ahumoni, inihua hoki",Era atu hinonga Maori,Tau,12,2021,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Nga ratonga reti whare, reti taputapu, hoko whare, whenua hoki",Era atu hinonga Maori,Tau,21,2020,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Nga ratonga reti whare, reti taputapu, hoko whare, whenua hoki",Era atu hinonga Maori,Tau,18,2021,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Nga ratonga ngaio, putaiao, hangarau hoki",Era atu hinonga Maori,Tau,108,2020,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Nga ratonga ngaio, putaiao, hangarau hoki",Era atu hinonga Maori,Tau,114,2021,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Nga ratonga whakahaere, tautoko hoki",Era atu hinonga Maori,Tau,57,2020,1 me 2
